SPACE,CATEGORY,PRODUCT_CODE,CARCASS_CODE,SHUTTER_CODE,TYPE,OPENING,SOLID,GLASS,ALU,PLY,SHUTTER_ORIGIN
Kitchen_Top_Unit,Top_Glass_Single_Door,TC_GSD_400,TC_400,AF_40_60/PF_40_60,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Single_Door,TC_GSD_450,TC_450,AF_45_60/PF_45_60,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Single_Door,TC_GSD_500,TC_500,AF_50_60/PF_50_60,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Single_Door,TC_GSD_550,TC_550,AF_55_60/PF_55_60,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Single_Door,TC_GSD_600,TC_600,AF_60_60/PF_60_60,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Double_Door,TC_GDD_800,TC_800,AF_80_60/PF_80_60,Double,No,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Double_Door,TC_GDD_900,TC_900,AF_90_60/PF_90_60,Double,No,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Solid_Single_Door,TC_GSD_400,TC_400,SD_40_60,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Single_Door,TC_SSD_450,TC_450,SD_45_60,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Single_Door,TC_SSD_500,TC_500,SD_50_60,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Single_Door,TC_SSD_550,TC_550,SD_55_60,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Single_Door,TC_SSD_600,TC_600,SD_60_60,Single,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Double_Door,TC_SDD_800,TC_800,SD_80_60,Double,No,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Solid_Double_Door,TC_SDD_900,TC_900,SD_90_60,Double,No,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Liftup_Door,TC_LUD_600,TC_LU_600,LUSD_60_60,Liftup,TOP,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Liftup_Door,TC_LUD_700,TC_LU_700,LUSD_70_60,Liftup,TOP,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Liftup_Duble_Door (Advance),TC_LUDD_600,TC_600,LUSD_60_60,Liftup,TOP,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Liftup_Duble_Door (Advance),TC_LUDD_700,TC_700,LUSD_70_60,Liftup,TOP,Yes,No,No,No,1_1
Kitchen_Top_Unit,Top_Liftup_Glass_Door,TC_LGD_600,TC_LU_600,LUAF_60_60/LUPF_60_60,Liftup,TOP,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Liftup_Glass_Door,TC_LGD_700,TC_LU_700,LUAF_70_60/LUPF_70_60,Liftup,TOP,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Liftup_Glass_Duble_Door,TC_LGDD_600,TC_600,LUAF_60_60/LUPF_60_60,Liftup,TOP,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Liftup_Glass_Duble_Door,TC_LGDD_700,TC_700,LUAF_70_60/LUPF_70_60,Liftup,TOP,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,TOP_DISHDRAIN_SOLID_SINGLE_DOOR,TC_DDSSD_600,TC_DD_600,SD_60_60,Liftup,LHS/RHS,Yes,No,No,No,1_1
Kitchen_Top_Unit,TOP_DISHDRAIN_GLASS_SINGLE_DOOR,TC_DDGSD_600,TC_DD_600,AF_60_60/PF_60_60,Liftup,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Single_Door,TC_GSD7_400,TC_7_400,AF_40_72/PF_40_72,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Single_Door,TC_GSD7_450,TC_7_450,AF_45_72/PF_45_72,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Single_Door,TC_GSD7_500,TC_7_500,AF_50_72/PF_50_72,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Single_Door,TC_GSD7_550,TC_7_550,AF_55_72/PF_55_72,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
Kitchen_Top_Unit,Top_Glass_Single_Door,TC_GSD7_600,TC_7_600,AF_60_72/PF_60_72,Single,LHS/RHS,No,Yes,Yes,Yes,1_1
